Name,Sex,Bodyweight,Age,Squat,Bench,Deadlift,Total
Brian Snell,M,114.76,26,180,117.5,215,512.5
Matthew Rice,M,126.46,30,277.5,145,285,707.5
Nathan Daniels,M,136.98,25,237.5,155,227.5,620
Baron Dixon,M,140.61,52,172.5,155,265,592.5
Kelsey Capecci,F,59.42,27,105,62.5,145,312.5
Katie Drotleff,F,70.22,33,110,65,145,320
Ryan Sherbondy,M,80.56,24,217.5,130,242.5,590
Alan Stiver,M,82.28,36,187.5,135,212.5,535
Alexander Crenshaw-Arnold,M,89.9,21,182.5,142.5,230,555
Walter Heinl II,M,88.27,34,150,137.5,205,492.5
Nick Fibelkorn,M,118.84,27,220,142.5,232.5,595
Isaac Whistler,M,124.38,18,265,197.5,282.5,745
Douglas Hutchinson,M,121.29,36,220,150,255,625
Andrew Beden,M,128.82,27,185,125,205,515
Rebecca Tucker,F,94.35,34,140,90,167.5,397.5
Tierra Tucker,F,73.48,29,140,95,140,375
Hassan Craddock,M,72.94,29,170,100,200,470
Darrnell Owens,M,84.1,30,80,97.5,182.5,360
Zach Speicher,M,92.9,27,150,112.5,190,452.5
Anthony Jewell,M,124.1,34,197.5,182.5,250,630
Ashley Christiansen,F,43.73,19,32.5,41,82.5,156
Brooke Zak,F,43.27,12,52.5,32.5,80,165
Anna Zak,F,53.43,15,47.5,30,75,152.5
David Sobota,M,86.09,35.5,185,120,200,505
Frank Ferchland,M,106.87,50.5,155,142.5,185,482.5
Madison Tuthill,F,55.88,16.5,70,42.5,95,207.5
Kaeleigh Gibson,F,66.09,14.5,110,47.5,115,272.5
Kay Humpherys,F,63.87,29.5,127.5,77.5,140,345
Brian Trail,M,87.23,26.5,185,142.5,260,587.5
Sam Shapiro,M,115.58,16.5,220.5,137.5,232.5,590.5
Alec Williamson,M,137.17,20,315,222.5,320,857.5
Noah Gibson,M,81.65,18.5,195,142.5,237.5,575
Andrew Kersting,M,99.56,31.5,210,132.5,252.5,595
Natalie Do,F,47.1,22,110,53,153,316
Lara Avanesian,F,59.7,23,102.5,50,122.5,275
Krista Dornbush,F,67,49,120,70,150,340
Stephanie Jura,F,66.5,36,75,42.5,105,222.5
Beatriz Neri,F,80.1,25,125,70,140,335
Marisa Bubica,F,86.1,25,117.5,57.5,170,345
Steven Lee,M,74.1,27,182.5,92.5,230,505
Colin Baroy,M,80.8,23,227.5,117.5,250,595
Andy Truong,M,81,24,215,115,252.5,582.5
Miguel Valtierra,M,80.3,21,185,135,240,560
Cameron Aragon,M,78.8,19,195,107.5,217.5,520
Jabril Ward,M,79.8,27,165,105,217.5,487.5
Giovanni Lara,M,80.6,28,165,117.5,190,472.5
Tamer Houx,M,98.1,27,187.5,137.5,280,605
Luis Cervantes,M,99.4,28,215,155,232.5,602.5
Wilson Thammavongsa,M,95.8,27,190,142.5,245,577.5
Mike Karayan,M,100,27,165,115,227.5,507.5
Jeremy Sanchez,M,97.1,22,167.5,125,200,492.5
Mark Galvin,M,106.3,38,205,130,255,590
Ralph Sagles,M,107.1,30,215,157.5,215,587.5
Chris Mckenna,M,105.6,35,195,150,227.5,572.5
Jaclyn Stevanovic,F,51.7,32,112.5,47.5,132.5,292.5
Priscilla Bauer,F,53.9,32,110,72.5,165,347.5
Brianna Lanoye,F,56.9,27,135,70,147.5,352.5
Rebecca Pell,F,59.8,26,137.5,65,137.5,340
Risa Mrozowski,F,65.7,28,100,60,135,295
Kate Hoffman,F,74.7,37,130,77.5,172.5,380
Jamie Messenger,F,78.4,33,122.5,62.5,130,315
Kristy Boncal,F,96.3,39,110,57.5,152.5,320
Brandon Russell,M,89.4,32,220,195,270,685
Michael Gralla,M,87.3,29,220,162.5,287.5,670
Nicholas Weber,M,89.3,26,215,125,202.5,542.5
Eric Dunlap II,M,92.6,32,205,145,240,590
William Schneider,M,98.2,34,182.5,167.5,227.5,577.5
Nick Dunn,M,104.8,38,215,142.5,250,607.5
Andrew Rettger,M,108.8,28,175,120,227.5,522.5
John Leonard,M,124,35,275,200,292.5,767.5
Gary Ball,M,123.8,30,235,200.5,215,650.5
Jim Joaquin,M,120,42,150,160,227.5,537.5
Jeremy Burroughs,M,138.3,29,307.5,217.5,275,800
Tim Bonds,M,127.9,37,240,172.5,320,732.5
McKenzie Maxson,F,55.8,25,123,75,167.5,365.5
Amy Allison,F,55.5,54,65,47.5,90,202.5
Laura Hagy,F,57.7,37,97.5,57.5,125,280
Charlotte Brace,F,59.3,24,87.5,62.5,125,275
Amy Corzo,F,59.1,28,85,35,100,220
Whitney Moran,F,66,26,107.5,70,142.5,320
Kayla Riggs,F,61.6,28,102.5,70,132.5,305
Jessica Sorgi,F,64.5,27,80,42.5,97.5,220
Rupa Dainer,F,69.6,43,115,77.5,150,342.5
Emily Sachs,F,79.8,39,102.5,60,142.5,305
Tracey Berg-Fulton,F,88.6,34,110,57.5,155,322.5
Miranda Burkhamer,F,121.1,33,130,65,137.5,332.5
Vinny Falletta,M,71.4,30,190,120,227.5,537.5
Zachary Kretlow,M,74.6,26,165,95,227.5,487.5
Dominic Massimiani,M,81.8,27,212.5,140,200,552.5
Nathan Smith #5,M,82,25,195,135,217.5,547.5
Joseph Creegan,M,81.4,34,200,110,222.5,532.5
Jason Ogden,M,78.2,29,142.5,110,182.5,435
Nicholas Reves,M,81.6,35,160,92.5,172.5,425
Alexander McNeal,M,87.7,29,202.5,162.5,265,630
Thuan Tran,M,88.4,25,235,135,250,620
Keller Bruce,M,87.6,22,160,82.5,187.5,430
Andrew Morton,M,97.9,24,222.5,177.5,237.5,637.5
Guy Vignoli,M,95.3,26,220,152.5,260,632.5
Alex Pardes,M,98.2,28,217.5,145,255,617.5
Robert Barclay,M,90.3,27,185,142.5,227.5,555
Dakota Wilhelm,M,93.5,24,142.5,107.5,170,420
Robert Saunders,M,106.8,27,222.5,157.5,280,660
Becky Hammon,F,59.6,49,112.5,57.5,127.5,297.5
Naz Salman,F,68.5,28,150,77.5,145,372.5
Kaylee Cavins,F,73.2,17,140,70,147.5,357.5
Kelly Daum,F,75,40,115,57.5,122.5,295
Melissa Ruth,F,77.9,29,117.5,70,147.5,335
Danielle Lundgaard,F,80.3,30,122.5,55,137.5,315
Amy Swiontek,F,87,27,150,80,155,385
Chloe Vroman,F,89.2,24,130,77.5,130,337.5
Jamie Stevens,F,85.8,40,102.5,67.5,140,310
Tracy Bryant,F,104.2,51,137.5,60,160,357.5
Juan Rodriguez,M,66.3,22,160,117.5,197.5,475
Brandon Harnish,M,66.4,32,137.5,112.5,167.5,417.5
Michael Coladipietro,M,74.5,23,230,150,280,660
Chalmer Brickhaus,M,81.4,17,192.5,130,217.5,540
Connor Julian,M,88.9,24,220,125,260,605
Kenny Franco,M,90,24,200,127.5,225,552.5
Phillip Sousan,M,88.8,25,167.5,117.5,192.5,477.5
Thomas Bowling,M,99.6,19,280,170,272.5,722.5
Elijah Vroman,M,99.5,18,240,165,227.5,632.5
Christopher Brackett,M,98.8,29,217.5,142.5,255,615
Jed Dant,M,107.5,38,210,195,220,625
Brad Reasner,M,121.9,32,162.5,122.5,227.5,512.5
Lewis Spry,M,120.2,36,200,107.5,192.5,500
Tony Farison,M,140,33,212.5,145,235,592.5
Jillian Ramos,F,50.4,26,102.5,60,137.5,300
Sarah Hocking,F,58.4,28,115,67.5,160,342.5
Stormy Mendez,F,67.4,22,130,82.5,142.5,355
Julia Green,F,64.9,23,115,70,165,350
Kelsey Fink,F,65.3,29,107.5,75,152.5,335
Sharon Rau,F,65.9,24,127.5,52.5,142.5,322.5
Ashley Perry,F,66,31,107.5,72.5,142.5,322.5
Abigail Hooker,F,66.2,22,97.5,50,140,287.5
Nichole Colonna,F,81,37,120,50,125,295
Ashley Dancoe,F,83.4,25,130,57.5,135,322.5
Diane Dunning,F,85.7,62,100,57.5,132.5,290
Alex Graffagnino,M,66.5,25,187.5,125.5,247.5,560.5
Jarrid Ringer,M,68.3,26,142.5,105,210,457.5
Austin Skeeters,M,78.4,25,190,135,250,575
Michael Lear,M,87.9,35,272.5,140,320,732.5
Kevin Papaj,M,84.6,26,260,162.5,277.5,700
Ricardo Martinez,M,89.7,29,250,140,272.5,662.5
Terrence Rooney,M,87.3,27,215,155,230,600
Johnathan Trunzo,M,89.9,31,195,120,230,545
Keith Ramos,M,84.9,28,195,120,210,525
David Sam,M,89.4,31,180,105,215,500
Keith Honeycutt,M,84.8,33,180,107.5,190,477.5
Victor Calamaro,M,98.4,29,242.5,147.5,265,655
Patrick Castile,M,93.4,23,235,155,240,630
Kyle Meyers,M,97.4,32,212.5,142.5,272.5,627.5
Kevin Goldsmith,M,93.1,26,205,135,280,620
David Williams #1,M,95.8,29,210,145,252.5,607.5
Jose Mondolis,M,106.7,32,265,162.5,262.5,690
Bradley Speers,M,106.4,23,250,147.5,250,647.5
Gerald Calton,M,105.9,26,210,142.5,215,567.5
Adrian Myers,M,121.3,29,280,150,332.5,762.5
Tobin Bush,M,127.4,39,202.5,112.5,237.5,552.5
Oluwatofunmi Fadesire,M,161.6,30,375,165,320,860
Alexandra Peek,F,67.1,25,110,82.5,145,337.5
Sienna Stevens,F,88.85,33,100,52.5,112.5,265
Gabe Neslin,M,71.2,27,182.5,140,227.5,550
William Brennan,M,79.15,25,145,97.5,197.5,440
Ezra Hercyk,M,77.45,17,145,75,195,415
Jude Quinto,M,81.5,23,120,95,175,390
Garett Koger,M,87.7,27,242.5,112.5,277.5,632.5
Tyler Camaione,M,85.2,29,197.5,132.5,272.5,602.5
Kevin Kapke,M,92.55,31,202.5,142.5,225,570
Jimmy Randall,M,98.2,43,170,142.5,242.5,555
Michael Monaghan,M,92.8,26,142.5,112.5,205,460
Skylar Stevens,M,99.6,32,165,105,185,455
Hanna Seo,F,46,24,82.5,45,107.5,235
Celina Flores,F,53.9,32,87.5,68,110,265.5
Lisa Branstetter,F,58.1,46,95,75,137.5,307.5
Katie Bales,F,78.1,30,147.5,80,167.5,395
Alicia Dellinger,F,81.7,20,122.5,73,157.5,353
Alana Stair,F,85.8,32,127.5,75,145,347.5
Rob Engelman,M,74.6,46,170,127.5,197.5,495
Zac Denson,M,80.7,21,240,140,295,675
Joseph Link,M,80,26,237.5,160,230,627.5
Keith Arnwine,M,79.9,30,200,130,210,540
Justin Durham,M,88.9,22,205,142.5,235,582.5
Tyler McClanahan,M,88.8,26,160,115,210,485
Josh Lucheon,M,95.2,26,227.5,140,272.5,640
Brandon Outzen,M,99.2,23,232.5,147.5,255,635
Jacob Grice,M,97.9,21,227.5,145,255,627.5
Andrew Baker #1,M,92.3,26,220,127.5,255,602.5
David Henes,M,97.5,25,232.5,132.5,237.5,602.5
Eric Hare,M,98.2,31,205,140,240,585
Morgan Elmore,M,95.6,26,150,102.5,175,427.5
Joseph Shipley,M,109.1,27,302.5,170,297.5,770
Stephen Woodward,M,109.1,32,235,165,258,658
Will Jackson,M,107,25,197.5,130,262.5,590
Joshua Dougherty,M,138.8,29,270,170,277.5,717.5
Mary York,F,49.1,24,87.5,52.5,112.5,252.5
Cambre Sorensen,F,54.9,30,85,47.5,132.5,265
Bailey Stettmeier,F,66,21,145,72.5,167.5,385
Amanda Fritz,F,62.9,31,67.5,50,105,222.5
Toni Crysel,F,65,33,72.5,42.5,105,220
Kenneth Schmidt,M,54.3,17,97.5,77.5,130,305
Zachary Blackmon,M,59.1,25,182.5,122.5,207.5,512.5
Stephen Burns,M,89.4,31,270,180,285,735
Austin Evans,M,94.6,28,227.5,130,227.5,585
Chris Miller,M,113.3,34,245,155,295,695
Winston Rasmussen,M,115.5,24,237.5,150,220,607.5
Cristina Baca,F,55.3,28,125,77.5,165,367.5
Angelica Hernandez,F,55.9,36,105,55,122.5,282.5
Kassi Laursen,F,59.95,27,112.5,67.5,122.5,302.5
Linnea Ming,F,59.75,30,80,50,112.5,242.5
Monica Chaffin,F,66.85,34,127.5,67.5,150,345
Anesha Yazzie,F,80.35,23,92.5,45,115,252.5
Kaitlin Young,F,129.45,22,175,87.5,190,452.5
Carson Stradford,F,120,38,152.5,90,187.5,430
Melton Morehead,M,66.6,41,187.5,112.5,232.5,532.5
Martin Pino Jr,M,74.3,32,175,117.5,227.5,520
Kyle Lebel,M,74.3,30,165,115,200,480
Carlos Weckmann,M,74.8,23,167.5,115,182.5,465
Jack Grady,M,74.8,24,152.5,102.5,200,455
Geoffery Bennett,M,81.9,39,202.5,120,230,552.5
Robert Najar,M,82.5,19,187.5,107.5,230,525
Lam Nguyen,M,80.7,26,185,115,222.5,522.5
Andre DeBord,M,81.4,29,165,127.5,212.5,505
Ezrah Reed,M,87.8,32,240,145,295,680
Jason Harris,M,89,33,197.5,160,260,617.5
James Salgado,M,89.8,32,200,125,250,575
David Bennett #1,M,99.1,28,237.5,150,277.5,665
Luke Villareal,M,93.5,21,200,140,265,605
Taylor Souza,M,99.4,28,210,127.5,267.5,605
Zach Young,M,92.6,27,202.5,140,240,582.5
Ian Sanchez #1,M,96.3,24,197.5,107.5,260,565
Alex Cardenas,M,98.6,29,200,117.5,232.5,550
Hugo Munoz,M,99.4,42,177.5,132.5,222.5,532.5
Dustin Jackson,M,124.5,27,287.5,192.5,335,815
Gregory Getha,M,120.9,25,175,110,190,475
Alan Perez,M,136.3,27,275,175,305,755
Cody Hanson #1,M,137.9,43,210,145,237.5,592.5
Matt Kennicott,M,127.1,38,182.5,132.5,205,520
Mark Duran-Lippman,M,146.6,32,247.5,150,265,662.5
Amy Cordero,F,54.9,36,107.5,57.5,143,308
Alexandra Smith,F,55.4,30,87.5,55,122.5,265
Susan DePasquale,F,54.3,60,70,35,90,195
Elisabeth Saunders,F,67.1,39,132.5,70,137.5,340
Kandice Spivey,F,66.9,32,62.5,62.5,100,225
Karina Espinosa,F,75,44,102.5,52.5,127.5,282.5
Catherine Zidow,F,73.7,34,75,50,95,220
Conswella Bennett,F,87.1,45,115,75,160,350
Krystal Cilch-Hannis,F,88.9,32,102.5,62.5,137.5,302.5
Corbin Bruce,F,106.3,27,195,92.5,207.5,495
David Gibson,M,73.6,40,167.5,112.5,251,531
Kendrick Williams,M,75,25,182.5,122.5,215,520
Brian Smith,M,82.4,40,195,172.5,242.5,610
Khaliff Davis,M,89.9,30,200,150,232.5,582.5
Kyle Packard,M,88.4,36,187.5,140,250,577.5
Ryan Sizemore,M,88.5,27,172.5,130,212.5,515
Noah Dawood,M,93,22,235,150,265,650
Eric Levy,M,98.8,46,232.5,122.5,270.5,625.5
Elmer Herrera,M,107.8,30,250,147.5,227.5,625
Christopher Long,M,115.8,33,242.5,150,300,692.5
Luz Adorno,F,51.6,31,120,57.5,150,327.5
Amanda Moore,F,50.2,26,95,62.5,117.5,275
Kirsten Evans,F,49.9,27,95,62.5,107.5,265
Trinh Pham,F,49.1,30,85,40,95,220
Tara Hamilton,F,54.9,26,105,65,112.5,282.5
Cindy Yang,F,59.9,25,115,62.5,125,302.5
Kelsey Fink,F,64.9,28,102.5,78,145,325.5
Charity Ayre,F,66.3,31,120,70,125,315
Danielle Diaz,F,67.3,25,110,60,112.5,282.5
Trinh Tat,F,74.1,30,130,60,177.5,367.5
Michelle Blouse,F,71.4,31,100,57.5,137.5,295
Lena Miller,F,80.7,28,95,45,110,250
Danny Ly,M,55.4,25,160,82.5,165,407.5
Joshua Perlman,M,59.6,23,167.5,107.5,198,473
Jhoonho Yoon,M,66.8,37,157.5,105,195,457.5
Thuan Tat,M,66.8,27,125,107.5,177.5,410
Zachria Hashemi,M,75,23,202.5,135,230,567.5
Brandon Luu,M,74.4,25,200,122.5,202.5,525
Bryant Castens,M,73,28,172.5,127.5,210,510
Kenn Miller,M,72.6,30,150,107.5,190,447.5
Woodrow Ikhide,M,77.4,31,200,160,257.5,617.5
Manik Sarik,M,81.3,26,215,140,252.5,607.5
Julio Galarza,M,82.2,29,200,145,255,600
Paul Xu,M,77.1,24,207.5,117.5,255,580
Said Haschemi,M,82.4,22,192.5,135,225,552.5
Sergio Valdez,M,81.8,25,192.5,150,197.5,540
Antony Truong,M,81.5,26,182.5,137.5,217.5,537.5
Amir Ashtiany,M,82.5,25,190,117.5,220,527.5
Anthony Nguyen #1,M,80.8,30,195,137.5,192.5,525
Paul Lang,M,80.9,28,175,115,210,500
Nelson Majano,M,81.6,25,165,130,205,500
Abiy Ababu,M,87,22,200,185,277.5,662.5
Thuan Tran,M,88.8,24,227.5,132.5,237.5,597.5
Patrick Mangan,M,88.5,25,195,127.5,237.5,560
Robert Velisek,M,89.2,27,207.5,145,207.5,560
Thor Haskin,M,98.4,21,250,160,260,670
Robert Herl,M,98.9,28,205,142.5,240,587.5
Steven Gromling,M,98.4,28,202.5,130,240,572.5
Nicholas Lewandowski,M,98.5,24,150,112.5,212.5,475
Tim Cosgrove,M,106.9,26,242.5,167.5,272.5,682.5
Brian Hershler,M,101,28,230,150,285,665
Angelo Damianidis,M,109.2,29,215,160,220,595
Kevin Saucedo,M,122.3,21,250,180,255,685
Haveesh Sharma,M,126.7,31,190,125,225,540
Tonya Reidy,F,49.4,38,75,45,82.5,202.5
Chelsie Corso,F,54.7,27,105,70,132.5,307.5
Lisa Courtney,F,58.8,54,105,58,117.5,280.5
Izzy Gallo,F,59.4,17,105,47.5,107.5,260
Alicia Merrill,F,59.5,27,82.5,55,110,247.5
Sabrina Mangin,F,65.5,34,130,80,145,355
Robin Gay,F,66.8,49,117.5,67.5,120,305
Danielle Heckman,F,65.8,28,117.5,55,127.5,300
Haley Adams,F,64.4,22,95,55,100,250
Julia Marrin,F,74.2,25,155,65,177.5,397.5
Rebeca Soto-Llamas,F,74.9,23,132.5,70,147.5,350
Helen Murphy,F,73.9,15,122.5,55,130,307.5
Courtney Pustay,F,71.9,30,107.5,47.5,135,290
Danielle Murphy,F,74.1,49,72.5,47.5,97.5,217.5
Jolene Santee,F,80.9,41,117.5,77.5,152.5,347.5
Cara Boss,F,105,26,175,107.5,197.5,480
Marisa Kanaga,F,107.5,30,167.5,77.5,187.5,432.5
Autumn Weary,F,93.4,28,145,82.5,155,382.5
Victoria Marvin,F,91.1,36,72.5,62.5,102.5,237.5
Joey Zarlinga,M,66.7,22,205,125,230,560
Alex Geier,M,66.7,30,140,102.5,190,432.5
Casmir Hughes,M,73.8,30,215,147.5,280,642.5
Nathan Noles,M,74.3,20,195,130,210,535
Kevin Smyth,M,72.3,30,137.5,92.5,167.5,397.5
Randy Myers,M,81.5,33,205,145,220,570
Carlo Lomanto,M,81.8,36,170,112.5,232.5,515
Jason Gallo,M,79.7,44,185,125,200,510
Matt Treblas,M,80,35,165,115,182.5,462.5
George Linder,M,80.6,50,137.5,97.5,190,425
Brian Crosby,M,88.5,27,207.5,178,252.5,638
John Schroeder,M,86.5,21,227.5,125,282.5,635
Kevin James #1,M,88.7,29,195,162.5,262.5,620
Daniel Leovic,M,87.1,33,192.5,135,250,577.5
Justin Smith #2,M,96.8,25,275,197.5,305,777.5
Nick Haught,M,93.7,31,222.5,142.5,275,640
Eric Eskridge,M,93.3,28,185,167.5,260,612.5
Adam Whitlach,M,97.9,35,227.5,145,240,612.5
Zack Underwood,M,98.6,29,185,120,252.5,557.5
Kyle Kish,M,107.8,27,155,172.5,217.5,545
Steve Pustay,M,109.1,41,195,125,217.5,537.5
Bruce Lockaby,M,101.3,21,175,130,207.5,512.5
Jason Larkin,M,106.9,39,157.5,105,165,427.5
Ray Buffington,M,124.1,36,267.5,195,260,722.5
Tim Bonds,M,123.4,36,235,175,310,720
Ray Rateno,M,113.5,34,172.5,135,227.5,535
Joe Gillespie,M,135,25,245,160,295,700
Jared Neal,M,142.7,28,315,195,345,855
Jeremy Burroughs,M,149.3,28,300,235,285,820
Mary Cuaresma,F,46.6,26,97.5,47.5,125,270
Princess Tibule,F,50.9,27,92.5,45,127.5,265
Erin Schuch,F,58.9,28,80,65,102.5,247.5
Steph Powell,F,66.9,30,172.5,85,227.5,485
Ray Ray Ayala,F,66.4,25,110,65,150,325
Kristina Thuemler,F,67.4,24,102.5,57.5,110,270
Melissa Mancuso,F,73.6,23,147.5,77.5,155,380
Anne Erlandson,F,67.6,34,102.5,70,130,302.5
Genevieve Ordonez,F,75.2,28,122.5,55,125,302.5
Albert Caval,M,66.7,37,207.5,110,250,567.5
Rocky Magbual Jr,M,67.1,28,182.5,150,227.5,560
Burton Xie,M,74.9,31,137.5,115,182.5,435
Troy Castillo,M,81.2,26,142.5,110,222.5,475
James Grant #1,M,88,27,250,170,290,710
Jon Miller,M,89.6,32,220,137.5,270,627.5
Ronald Harris,M,89.5,33,227.5,142.5,252.5,622.5
DeVaughn Smith,M,88,24,195,155,252.5,602.5
Benjamin Shiramizu,M,84.9,28,165,85,180,430
Shane Pham,M,95.3,25,235,147.5,287.5,670
Mitch Colangelo,M,91,27,182.5,132.5,190,505
Mario Falcon,M,139.3,36,212.5,147.5,255,615
Richard Castillo,M,152.3,26,282.5,230.5,287.5,800.5
Larry Shea,M,82.5,47,162.5,160,187.5,510
Trevia Brooks,F,65.7,45,107.5,65,147.5,320
Genevieve Fischre,F,66.4,32,95,57.5,147.5,300
Katie Platek,F,88.8,27,147.5,85,150,382.5
Elizabeth Santoli-Johnson,F,113.7,27,130,85,145,360
Ethan Garcia,M,74.2,20,167.5,120,190,477.5
Derek Betts,M,89.1,29,227.5,157.5,272.5,657.5
Jeff Werner,M,89.9,24,200,127.5,240,567.5
Sky Goin,M,88.4,26,195,127.5,240,562.5
Jake Clees,M,95.7,25,255,175,275,705
Connor Hobson,M,99.5,26,230,120,225,575
Hunter Skowronski,M,96.8,19,192.5,147.5,227.5,567.5
Chris Hockemeyer,M,119.7,31,250,170,280,700
John Patterson,M,123.9,33,227.5,155,287.5,670
Jason Stock,M,117.4,43,227.5,162.5,240,630
Ryan Savine,M,115.8,29,165,137.5,292.5,595
Marshelle Johnston,F,55.8,25,107.5,50,122.5,280
Kathryn Serravo,F,54.65,25,85,45,130,260
Jessica Arent,F,58.3,27,137.5,65,140,342.5
Katie Kates,F,59.6,28,115,72.5,142.5,330
Gedda Peko,F,66.9,30,92.5,67.5,110,270
Molly Johnson,F,71.2,29,137.5,82.5,192.5,412.5
Michelle Perez,F,89.8,27,157.5,65,175,397.5
Vaibhav Patel,M,66.5,21,125,90,175,390
Ryan Martinez,M,74.9,27,165,125,210,500
Mitch Ertle,M,81.1,31,217.5,137.5,287.5,642.5
Rahime Kirby,M,97.85,26,240,172.5,262.5,675
Sebastian Burns,M,94.5,29,165,92.5,205,462.5
Ryan Brosmer,M,106.45,31,210,137.5,240,587.5
Joash Peko,M,122.75,28,250,162.5,275,687.5
Giancarlo Tzquierdo,M,121,27,240,152.5,250,642.5
Shelley O'Neil,F,47.3,27,82.5,45,105,232.5
Caitlyn Schuft,F,54.55,37,105,77.5,127.5,310
Loni Nguyen,F,52.6,30,112.5,60,120,292.5
Shirley Ho,F,54.55,26,102.5,42.5,127.5,272.5
Taylor Irvine,F,59.05,25,137.5,80,157.5,375
Darla King,F,57.95,44,127.5,77.5,140,345
Denicia Miller,F,59.7,27,110,55,132.5,297.5
Julie Nordquist,F,59.9,56,77.5,50,97.5,225
Stacey Otlin,F,67.5,42,130,80,170,380
Silvia Lopez Torres,F,66.8,21,120,55,130,305
Jennifer Wills,F,75,55,125,87.5,150,362.5
Jaycie Dunshie,F,77.05,24,132.5,102.5,172.5,407.5
Tiffany Ornells,F,80.1,28,152.5,80,167.5,400
Ashleigh Campbell,F,96.7,31,132.5,70,160,362.5
Kamica Scott,F,92.3,23,137.5,65,157.5,360
Francisco Pardorla,M,59.95,52,147.5,112.5,190,450
Felix Wynn,M,65.8,29,190,165,245,600
Evan Diaz,M,67.4,22,182.5,97.5,227.5,507.5
Sebhie Akesh,M,70.3,17,125,87.5,162.5,375
Uver Espinoza,M,80.9,24,217.5,142.5,285,645
Philip Pohle,M,81.7,26,210,140,275,625
Tony Del Vecchio,M,89.25,30,202.5,145,252.5,600
Dominique Toney,M,89.5,29,177.5,150,250,577.5
Anthony Mesina,M,98.5,31,210,137.5,280,627.5
Brandon Jolley,M,98.65,26,207.5,145,272.5,625
Victor Martinez,M,100,25,205,147.5,200,552.5
Rowell Dingle,M,109.1,25,232.5,142.5,237.5,612.5
Rey Hernandez,M,117.25,28,187.5,145,230,562.5
Joshua Licup,M,129.5,24,235,195,262.5,692.5
Yessenia Ortez,F,51.5,23,117.5,57.5,125,300
Dominique Ocampo,F,51.9,24,92.5,40,157.5,290
Taylor Evans,F,51.65,19,100,60,115,275
Shey Quadra,F,55.6,23,112.5,60,160,332.5
Tsukiko Fredette,F,59.85,20,132.5,67.5,152.5,352.5
Marielle Villanueva,F,57.05,20,125,60,147.5,332.5
Linda Moua,F,56.3,35,100,60,135,295
Sally Goldman,F,67,54,112.5,75,160,347.5
Nicole Lacanglacang,F,65.55,36,112.5,65,145,322.5
Irene Truong,F,65.25,29,110,57.5,127.5,295
Linda Franklin,F,65.65,61,100,60,130,290
Michelle Vandeburgh,F,74.75,34,157.5,102.5,182.5,442.5
Jessica Vien,F,68,25,115,52.5,145,312.5
Brittainy Chown,F,78.25,27,160,75,192.5,427.5
Seyonn Chin,M,55.6,25,172.5,122.5,210,505
Bao Huynh,M,59.2,33,172.5,132.5,200,505
Craig Sano,M,56.15,25,157.5,102.5,200,460
Peter Estay,M,58,23,150,110,195,455
Felix Wynn,M,66.85,28,197.5,165,262.5,625
Ryu Tran,M,66.9,27,215,125,260,600
Mikel Fulgencio,M,67.5,27,167.5,97.5,230,495
John Nguyen,M,65.1,24,157.5,82.5,172.5,412.5
Josh Moore,M,74.9,27,227.5,172.5,262.5,662.5
Benny Uncangco,M,74.3,25,215,132.5,267.5,615
Kevin Suy,M,74.95,27,210,120,222.5,552.5
Steve Mar,M,71.2,30,185,135,227.5,547.5
Allain Petersen,M,73.6,26,200,117.5,215,532.5
Richard Pham,M,82.25,23,237.5,165,252.5,655
Shawn Taylor,M,82.5,25,240,137.5,272.5,650
Albert Bartolome,M,82.25,36,227.5,160,255,642.5
Philip Pohle,M,81.95,25,210,137.5,270,617.5
Tony Chau,M,82.2,25,207.5,125,245,577.5
Phil Nguyen,M,89.8,28,237.5,155,257.5,650
Cody Duca,M,89.6,30,207.5,172.5,252.5,632.5
Tony Del Vecchio,M,89.3,29,197.5,142.5,255,595
Aaron Lee,M,83.6,31,172.5,155,247.5,575
Brandon Jolley,M,88.8,25,190,132.5,237.5,560
Mario Alcantar,M,92.8,21,247.5,140,277.5,665
Hari Nandagopal,M,90.5,28,192.5,135,255,582.5
John Davis #1,M,108.8,41,255,181,272.5,708.5
Martin Olivera,M,109.8,28,222.5,175,260,657.5
Jessie Swanson,M,109.9,25,230,167.5,255,652.5
Dylan Mayer,M,120.1,24,295.5,200,350,845.5
Gerald Omictin,M,123.8,25,285,187.5,285,757.5
Kevin Jamieson,M,145.8,39,237.5,140,240,617.5
Jenna Arguelles,F,50.8,27,120,57.5,142.5,320
Sydney Farris,F,50.2,16,95,47.5,92.5,235
Kristen Norris,F,55.4,25,145,85,165,395
Hikaru Komiyama,F,55.9,25,132.5,72.5,160,365
Micheale Morgan,F,53.7,25,122.5,67.5,142.5,332.5
Keiko Warner,F,54.2,30,127.5,67.5,120,315
Cindy Rivera,F,58.9,30,160,72.5,180,412.5
Robyn Machado,F,58.9,32,142.5,85,165,392.5
April Purvis,F,59.4,22,140,77.5,155,372.5
Leanne Lin,F,58.8,29,100,70,132.5,302.5
Lauren Taylor,F,58.8,33,100,57.5,135,292.5
Caitlyn Dunlap,F,66.5,27,167.5,102.5,170,440
Precious Trejo,F,64.2,20,155,92.5,150,397.5
Valerie Smith #1,F,66.2,44,127.5,92.5,168,388
Kasia Dinkeloo,F,60.7,27,137.5,67.5,147.5,352.5
Jennifer Wright,F,65.7,28,120,77.5,155,352.5
